
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012668                       # Number of seconds simulated (Second)
simTicks                                  12668390500                       # Number of ticks simulated (Tick)
finalTick                                 12668390500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     97.87                       # Real time elapsed on the host (Second)
hostTickRate                                129436417                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2811968                       # Number of bytes of host memory used (Byte)
simInsts                                     18405434                       # Number of instructions simulated (Count)
simOps                                       21482674                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   188053                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     219494                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bigCluster.clk_domain.clock                500                       # Clock period in ticks (Tick)
system.bigCluster.cpus.numCycles             25336782                       # Number of cpu cycles simulated (Cycle)
system.bigCluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.bigCluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.bigCluster.cpus.instsAdded            21567790                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.bigCluster.cpus.nonSpecInstsAdded         8197                       # Number of non-speculative instructions added to the IQ (Count)
system.bigCluster.cpus.instsIssued           21541384                       # Number of instructions issued (Count)
system.bigCluster.cpus.squashedInstsIssued         6929                       # Number of squashed instructions issued (Count)
system.bigCluster.cpus.squashedInstsExamined        93326                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.bigCluster.cpus.squashedOperandsExamined        75633                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.bigCluster.cpus.squashedNonSpecRemoved          182                       # Number of squashed non-spec instructions that were removed (Count)
system.bigCluster.cpus.numIssuedDist::samples     25113793                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::mean     0.857751                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::stdev     1.125266                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.mmu.dtb_walker.pendingWalks::stdev     0.278529                       # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.dtb_walker.pendingWalks::0  11500079000     92.07%     92.07% # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.dtb_walker.pendingWalks::1    988889500      7.92%     99.99% # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.dtb_walker.pendingWalks::2       861500      0.01%     99.99% # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.dtb_walker.pendingWalks::3        38000      0.00%    100.00% # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.dtb_walker.pendingWalks::4        15000      0.00%    100.00% # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.dtb_walker.pendingWalks::5         9000      0.00%    100.00% # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.dtb_walker.pendingWalks::6        15500      0.00%    100.00% # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.dtb_walker.pendingWalks::7         7500      0.00%    100.00% # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.dtb_walker.pendingWalks::8        16000      0.00%    100.00% # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.dtb_walker.pendingWalks::9        29000      0.00%    100.00% # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.dtb_walker.pendingWalks::10       510500      0.00%    100.00% # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.dtb_walker.pendingWalks::total  12490470500                       # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.dtb_walker.pageSizes::4KiB          267     93.68%     93.68% # Table walker page sizes translated (Count)
system.bigCluster.cpus.mmu.dtb_walker.pageSizes::2MiB           17      5.96%     99.65% # Table walker page sizes translated (Count)
system.bigCluster.cpus.mmu.dtb_walker.pageSizes::1GiB            1      0.35%    100.00% # Table walker page sizes translated (Count)
system.bigCluster.cpus.mmu.dtb_walker.pageSizes::total          285                       # Table walker page sizes translated (Count)
system.bigCluster.cpus.mmu.dtb_walker.requestOrigin_Requested::Data          792                       # Table walker requests started/completed, data/inst (Count)
system.bigCluster.cpus.mmu.dtb_walker.requestOrigin_Requested::Inst            0                       # Table walker requests started/completed, data/inst (Count)
system.bigCluster.cpus.mmu.dtb_walker.requestOrigin_Requested::total          792                       # Table walker requests started/completed, data/inst (Count)
system.bigCluster.cpus.mmu.dtb_walker.requestOrigin_Completed::Data          285                       # Table walker requests started/completed, data/inst (Count)
system.bigCluster.cpus.mmu.dtb_walker.requestOrigin_Completed::Inst            0                       # Table walker requests started/completed, data/inst (Count)
system.bigCluster.cpus.mmu.dtb_walker.requestOrigin_Completed::total          285                       # Table walker requests started/completed, data/inst (Count)
system.bigCluster.cpus.mmu.dtb_walker.requestOrigin::total         1077                       # Table walker requests started/completed, data/inst (Count)
system.bigCluster.cpus.mmu.dtb_walker.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.bigCluster.cpus.mmu.itb.instHits       7449582                       # Inst hits (Count)
system.bigCluster.cpus.mmu.itb.instMisses           78                       # Inst misses (Count)
system.bigCluster.cpus.mmu.itb.inserts             69                       # Number of times an entry is inserted into the TLB (Count)
system.bigCluster.cpus.mmu.itb.flushTlb             8                       # Number of times complete TLB was flushed (Count)
system.bigCluster.cpus.mmu.itb.flushTlbMva          214                       # Number of times TLB was flushed by MVA (Count)
system.bigCluster.cpus.mmu.itb.flushTlbMvaAsid            0                       # Number of times TLB was flushed by MVA & ASID (Count)
system.bigCluster.cpus.mmu.itb.flushTlbAsid            0                       # Number of times TLB was flushed by ASID (Count)
system.bigCluster.cpus.mmu.itb.flushedEntries           21                       # Number of entries that have been flushed from TLB (Count)
system.bigCluster.cpus.mmu.itb.instAccesses      7449660                       # Inst accesses (Count)
system.bigCluster.cpus.mmu.itb.hits           7449582                       # Total TLB (inst and data) hits (Count)
system.bigCluster.cpus.mmu.itb.misses              78                       # Total TLB (inst and data) misses (Count)
system.bigCluster.cpus.mmu.itb.accesses       7449660                       # Total TLB (inst and data) accesses (Count)
system.bigCluster.cpus.mmu.itb_walker.walks           77                       # Table walker walks requested (Count)
system.bigCluster.cpus.mmu.itb_walker.walksLongDescriptor           77                       # Table walker walks initiated with long descriptors (Count)
system.bigCluster.cpus.mmu.itb_walker.walksLongTerminatedAtLevel::Level2           15                       # Level at which table walker walks with long descriptors terminate (Count)
system.bigCluster.cpus.mmu.itb_walker.walksLongTerminatedAtLevel::Level3           53                       # Level at which table walker walks with long descriptors terminate (Count)
system.bigCluster.cpus.mmu.itb_walker.squashedBefore            6                       # Table walks squashed before starting (Count)
system.bigCluster.cpus.mmu.itb_walker.walkWaitTime::samples           71                       # Table walker wait (enqueue to first request) latency (Tick)
system.bigCluster.cpus.mmu.itb_walker.walkWaitTime::mean  1176.056338                       # Table walker wait (enqueue to first request) latency (Tick)
system.bigCluster.cpus.mmu.itb_walker.walkWaitTime::stdev  6849.451798                       # Table walker wait (enqueue to first request) latency (Tick)
system.bigCluster.cpus.mmu.itb_walker.walkWaitTime::0-4095           69     97.18%     97.18% # Table walker wait (enqueue to first request) latency (Tick)
system.bigCluster.cpus.mmu.itb_walker.walkWaitTime::36864-40959            1      1.41%     98.59% # Table walker wait (enqueue to first request) latency (Tick)
system.bigCluster.cpus.mmu.itb_walker.walkWaitTime::40960-45055            1      1.41%    100.00% # Table walker wait (enqueue to first request) latency (Tick)
system.bigCluster.cpus.mmu.itb_walker.walkWaitTime::total           71                       # Table walker wait (enqueue to first request) latency (Tick)
system.bigCluster.cpus.mmu.itb_walker.walkServiceTime::samples           74                       # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.itb_walker.walkServiceTime::mean 20689.189189                       # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.itb_walker.walkServiceTime::gmean 13069.480635                       # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.itb_walker.walkServiceTime::stdev 24400.160383                       # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.itb_walker.walkServiceTime::0-8191           36     48.65%     48.65% # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.itb_walker.walkServiceTime::8192-16383           22     29.73%     78.38% # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.itb_walker.walkServiceTime::16384-24575            2      2.70%     81.08% # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.itb_walker.walkServiceTime::49152-57343            9     12.16%     93.24% # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.itb_walker.walkServiceTime::81920-90111            2      2.70%     95.95% # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.itb_walker.walkServiceTime::90112-98303            1      1.35%     97.30% # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.itb_walker.walkServiceTime::98304-106495            2      2.70%    100.00% # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.itb_walker.walkServiceTime::total           74                       # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.itb_walker.pendingWalks::samples   1079490000                       # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.itb_walker.pendingWalks::mean     0.882226                       # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.itb_walker.pendingWalks::stdev     0.322580                       # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.itb_walker.pendingWalks::0    127219500     11.79%     11.79% # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.itb_walker.pendingWalks::1    952187000     88.21%     99.99% # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.itb_walker.pendingWalks::2        83500      0.01%    100.00% # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.itb_walker.pendingWalks::total   1079490000                       # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.itb_walker.pageSizes::4KiB           53     77.94%     77.94% # Table walker page sizes translated (Count)
system.bigCluster.cpus.mmu.itb_walker.pageSizes::2MiB           15     22.06%    100.00% # Table walker page sizes translated (Count)
system.bigCluster.cpus.mmu.itb_walker.pageSizes::total           68                       # Table walker page sizes translated (Count)
system.bigCluster.cpus.mmu.itb_walker.requestOrigin_Requested::Data            0                       # Table walker requests started/completed, data/inst (Count)
system.bigCluster.cpus.mmu.itb_walker.requestOrigin_Requested::Inst           77                       # Table walker requests started/completed, data/inst (Count)
system.bigCluster.cpus.mmu.itb_walker.requestOrigin_Requested::total           77                       # Table walker requests started/completed, data/inst (Count)
system.bigCluster.cpus.mmu.itb_walker.requestOrigin_Completed::Data            0                       # Table walker requests started/completed, data/inst (Count)
system.bigCluster.cpus.mmu.itb_walker.requestOrigin_Completed::Inst           68                       # Table walker requests started/completed, data/inst (Count)
system.bigCluster.cpus.mmu.itb_walker.requestOrigin_Completed::total           68                       # Table walker requests started/completed, data/inst (Count)
system.bigCluster.cpus.mmu.itb_walker.requestOrigin::total          145                       # Table walker requests started/completed, data/inst (Count)
system.bigCluster.cpus.mmu.itb_walker.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.bigCluster.cpus.mmu.l2_shared.partialHits          138                       # partial translation hits (Count)
